games_played_1,games_played_2,goals_1,goals_2,height,plus_minus_1,plus_minus_2,ppg_3,shots_1,shots_2,avg_toi_1,avg_toi_2,weight,points_1,points_2,age
0.975609756097561,0.975609756097561,0.6875,0.65,74,17,7,1.308641975308642,3.475,3.0875,22.35,21.73,209,1.375,1.6,29
1.0,0.8170731707317073,0.14634146341463414,0.19402985074626866,74,-9,7,0.5,1.7317073170731707,1.8805970149253732,12.62,12.7,205,0.3170731707317073,0.417910447761194,28
0.926829268292683,0.9634146341463414,0.35526315789473684,0.45569620253164556,73,-9,13,0.9625,2.8026315789473686,3.4936708860759493,19.47,20.15,206,0.7105263157894737,1.0506329113924051,32
0.8170731707317073,0.8048780487804879,0.13432835820895522,0.15151515151515152,74,3,9,0.1690140845070422,1.328358208955224,1.196969696969697,14.35,14.67,205,0.373134328358209,0.3787878787878788,32
0.975609756097561,1.0,0.55,0.7804878048780488,73,28,22,1.736842105263158,3.925,4.2926829268292686,22.07,22.38,194,1.5375,1.8658536585365855,27
0.8658536585365854,0.6951219512195121,0.1267605633802817,0.19298245614035087,75,-2,4,0.3703703703703703,1.1549295774647887,1.368421052631579,12.77,14.18,204,0.29577464788732394,0.40350877192982454,25
0.7682926829268293,1.0,0.1746031746031746,0.45121951219512196,73,3,12,0.8375,2.4444444444444446,2.451219512195122,19.32,19.8,192,0.7936507936507936,1.2682926829268293,31
0.9146341463414634,0.975609756097561,0.13333333333333333,0.1625,70,-4,11,0.1714285714285714,0.96,1.15,11.43,11.17,185,0.29333333333333333,0.25,38
0.9878048780487805,0.7073170731707317,0.24691358024691357,0.1724137931034483,69,-1,12,0.2711864406779661,1.4074074074074074,1.6724137931034482,16.87,16.58,178,0.5061728395061729,0.43103448275862066,26
0.9878048780487805,1.0,0.14814814814814814,0.0975609756097561,75,10,6,1.0123456790123455,2.5308641975308643,1.9024390243902438,19.8,18.52,192,0.5308641975308642,0.4878048780487805,25
0.9512195121951219,0.975609756097561,0.0641025641025641,0.0125,75,8,11,0.3164556962025316,1.3076923076923077,1.1,20.9,20.13,210,0.358974358974359,0.1875,31
0.8658536585365854,1.0,0.1267605633802817,0.14634146341463414,76,18,26,0.3950617283950617,2.859154929577465,2.475609756097561,25.05,23.5,215,0.49295774647887325,0.524390243902439,29
