games_played_1,games_played_2,goals_1,goals_2,height,plus_minus_1,plus_minus_2,ppg_3,shots_1,shots_2,avg_toi_1,avg_toi_2,weight,points_1,points_2,age,position_C,position_D,position_L,position_R
0.8048780487804879,1.0,0.3484848484848485,0.3170731707317073,72,18,16,1.0833333333333333,2.015151515151515,2.8048780487804876,18.28,18.32,188,0.7272727272727273,0.7439024390243902,33,False,False,True,False
1.0,0.5853658536585366,0.3170731707317073,0.4583333333333333,72,16,30,0.8717948717948718,2.8048780487804876,2.3541666666666665,18.32,18.02,188,0.7439024390243902,1.0833333333333333,34,False,False,True,False
0.5853658536585366,0.9512195121951219,0.4583333333333333,0.44871794871794873,72,30,25,0.5405405405405406,2.3541666666666665,2.7948717948717947,18.02,19.15,188,1.0833333333333333,0.8717948717948718,35,False,False,True,False
0.9512195121951219,0.9024390243902439,0.44871794871794873,0.22972972972972974,72,25,2,0.5,2.7948717948717947,2.2972972972972974,19.15,17.88,188,0.8717948717948718,0.5405405405405406,36,False,False,True,False
0.9024390243902439,0.975609756097561,0.22972972972972974,0.2125,72,2,29,0.4084507042253521,2.2972972972972974,1.875,17.88,16.82,188,0.5405405405405406,0.5,37,False,False,True,False
0.975609756097561,0.8658536585365854,0.2125,0.1267605633802817,72,29,0,0.3536585365853658,1.875,1.8873239436619718,16.82,15.52,188,0.5,0.4084507042253521,38,False,False,True,False
0.8658536585365854,1.0,0.1267605633802817,0.15853658536585366,72,0,8,0.1785714285714285,1.8873239436619718,0.9878048780487805,15.52,11.95,188,0.4084507042253521,0.35365853658536583,39,False,False,True,False
0.9878048780487805,1.0,0.4074074074074074,0.2926829268292683,76,-10,-20,1.1041666666666667,3.654320987654321,3.1951219512195124,21.93,21.55,195,0.9382716049382716,0.8536585365853658,28,True,False,False,False
1.0,0.5853658536585366,0.2926829268292683,0.375,76,-20,5,0.7721518987341772,3.1951219512195124,3.1666666666666665,21.55,21.0,195,0.8536585365853658,1.1041666666666667,29,True,False,False,False
0.5853658536585366,0.9634146341463414,0.375,0.26582278481012656,76,5,-13,0.7012987012987013,3.1666666666666665,2.911392405063291,21.0,20.28,195,1.1041666666666667,0.7721518987341772,30,True,False,False,False
0.9634146341463414,0.9390243902439024,0.26582278481012656,0.2987012987012987,76,-13,-13,0.3,2.911392405063291,3.168831168831169,20.28,18.85,195,0.7721518987341772,0.7012987012987013,31,True,False,False,False
0.9390243902439024,0.24390243902439024,0.2987012987012987,0.15,76,-13,1,0.7926829268292683,3.168831168831169,2.0,18.85,16.25,195,0.7012987012987013,0.3,32,True,False,False,False
0.24390243902439024,1.0,0.15,0.34146341463414637,76,1,17,0.926829268292683,2.0,2.573170731707317,16.25,18.6,195,0.3,0.7926829268292683,33,True,False,False,False
1.0,1.0,0.34146341463414637,0.5121951219512195,76,17,8,0.6419753086419753,2.573170731707317,2.9390243902439024,18.6,17.82,195,0.7926829268292683,0.926829268292683,34,True,False,False,False
1.0,0.9878048780487805,0.5121951219512195,0.2716049382716049,76,8,-7,0.7121212121212122,2.9390243902439024,2.654320987654321,17.82,18.13,195,0.926829268292683,0.6419753086419753,35,True,False,False,False
0.9878048780487805,0.8048780487804879,0.2716049382716049,0.2878787878787879,76,-7,-9,0.1428571428571428,2.654320987654321,1.7121212121212122,18.13,17.13,195,0.6419753086419753,0.7121212121212122,36,True,False,False,False
0.25609756097560976,0.0,0.09523809523809523,0.0,76,-10,0,0.4027777777777778,1.0952380952380953,0.0,13.45,0,195,0.14285714285714285,0.0,38,True,False,False,False
0.975609756097561,0.5609756097560976,0.325,0.3695652173913043,74,29,0,0.5116279069767442,2.35,1.9565217391304348,16.28,15.93,229,0.6625,0.6956521739130435,27,False,False,False,True
0.5609756097560976,0.524390243902439,0.3695652173913043,0.3023255813953488,74,0,1,0.5277777777777778,1.9565217391304348,2.6511627906976742,15.93,16.85,229,0.6956521739130435,0.5116279069767442,28,False,False,False,True
0.975609756097561,0.9512195121951219,0.4,0.3333333333333333,74,2,-6,1.0789473684210529,2.975,2.6153846153846154,17.35,16.93,214,0.9125,0.782051282051282,28,False,False,True,False
0.9512195121951219,0.4634146341463415,0.3333333333333333,0.5263157894736842,74,-6,-1,0.8333333333333334,2.6153846153846154,3.1315789473684212,16.93,18.4,214,0.782051282051282,1.0789473684210527,29,False,False,True,False
0.4634146341463415,0.21951219512195122,0.5263157894736842,0.3333333333333333,74,-1,8,0.65,3.1315789473684212,3.388888888888889,18.4,18.18,214,1.0789473684210527,0.8333333333333334,30,False,False,True,False
0.21951219512195122,0.975609756097561,0.3333333333333333,0.2625,74,8,-6,0.5540540540540541,3.388888888888889,2.1375,18.18,16.22,214,0.8333333333333334,0.65,31,False,False,True,False
0.975609756097561,0.9024390243902439,0.2625,0.24324324324324326,74,-6,-10,0.5,2.1375,1.972972972972973,16.22,15.62,214,0.65,0.5540540540540541,32,False,False,True,False
0.9024390243902439,0.24390243902439024,0.24324324324324326,0.1,74,-10,-7,0.7894736842105263,1.972972972972973,1.7,15.62,13.9,214,0.5540540540540541,0.5,33,False,False,True,False
0.24390243902439024,0.23170731707317074,0.1,0.3684210526315789,74,-7,9,0.5625,1.7,2.473684210526316,13.9,14.47,214,0.5,0.7894736842105263,34,False,False,True,False
0.8048780487804879,0.9390243902439024,0.2727272727272727,0.45454545454545453,74,-12,4,0.6086956521739131,2.5303030303030303,2.7532467532467533,18.07,19.55,225,0.5,0.7792207792207793,28,False,False,True,False
0.9390243902439024,0.2804878048780488,0.45454545454545453,0.17391304347826086,74,4,8,0.4756097560975609,2.7532467532467533,2.5217391304347827,19.55,18.18,225,0.7792207792207793,0.6086956521739131,29,False,False,True,False
0.2804878048780488,1.0,0.17391304347826086,0.2073170731707317,74,8,-25,0.5151515151515151,2.5217391304347827,2.0609756097560976,18.18,17.58,225,0.6086956521739131,0.47560975609756095,30,False,False,True,False
1.0,0.8048780487804879,0.2073170731707317,0.19696969696969696,74,-25,3,0.4615384615384615,2.0609756097560976,1.9696969696969697,17.58,16.37,225,0.47560975609756095,0.5151515151515151,31,False,False,True,False
0.8048780487804879,0.15853658536585366,0.19696969696969696,0.07692307692307693,74,3,-1,0.4,1.9696969696969697,0.6153846153846154,16.37,14.42,225,0.5151515151515151,0.46153846153846156,32,False,False,True,False
0.8536585365853658,0.9634146341463414,0.05714285714285714,0.08860759493670886,73,20,15,0.6666666666666666,1.6428571428571428,1.6962025316455696,25.2,26.5,201,0.5571428571428572,0.5822784810126582,27,False,True,False,False
0.9634146341463414,0.5853658536585366,0.08860759493670886,0.08333333333333333,73,15,2,0.524390243902439,1.6962025316455696,1.8958333333333333,26.5,27.28,201,0.5822784810126582,0.6666666666666666,28,False,True,False,False
0.5853658536585366,1.0,0.08333333333333333,0.0975609756097561,73,2,15,0.4935064935064935,1.8958333333333333,1.829268292682927,27.28,29.42,201,0.6666666666666666,0.524390243902439,29,False,True,False,False
1.0,0.9390243902439024,0.0975609756097561,0.025974025974025976,73,15,7,0.6219512195121951,1.829268292682927,1.948051948051948,29.42,29.07,201,0.524390243902439,0.4935064935064935,30,False,True,False,False
0.9390243902439024,1.0,0.025974025974025976,0.0975609756097561,73,7,10,0.4878048780487805,1.948051948051948,2.292682926829268,29.07,28.6,201,0.4935064935064935,0.6219512195121951,31,False,True,False,False
1.0,1.0,0.0975609756097561,0.10975609756097561,73,10,34,0.6538461538461539,2.292682926829268,2.0,28.6,26.92,201,0.6219512195121951,0.4878048780487805,32,False,True,False,False
1.0,0.9512195121951219,0.10975609756097561,0.07692307692307693,73,34,-1,0.573170731707317,2.0,1.9102564102564104,26.92,26.78,201,0.4878048780487805,0.6538461538461539,33,False,True,False,False
0.9512195121951219,1.0,0.07692307692307693,0.08536585365853659,73,-1,-8,0.6956521739130435,1.9102564102564104,1.6585365853658536,26.78,26.7,201,0.6538461538461539,0.573170731707317,34,False,True,False,False
1.0,0.8414634146341463,0.08536585365853659,0.11594202898550725,73,-8,-6,0.3392857142857143,1.6585365853658536,1.608695652173913,26.7,24.63,201,0.573170731707317,0.6956521739130435,35,False,True,False,False
0.8414634146341463,0.6829268292682927,0.11594202898550725,0.05357142857142857,73,-6,9,0.3902439024390244,1.608695652173913,1.5357142857142858,24.63,22.18,201,0.6956521739130435,0.3392857142857143,36,False,True,False,False
0.6829268292682927,1.0,0.05357142857142857,0.08536585365853659,73,9,1,0.3048780487804878,1.5357142857142858,1.4390243902439024,22.18,23.65,201,0.3392857142857143,0.3902439024390244,37,False,True,False,False
1.0,1.0,0.08536585365853659,0.036585365853658534,73,1,0,0.2073170731707317,1.4390243902439024,1.1219512195121952,23.65,20.38,201,0.3902439024390244,0.3048780487804878,38,False,True,False,False
1.0,0.9878048780487805,0.024390243902439025,0.04938271604938271,77,15,10,0.1515151515151515,1.3902439024390243,1.3950617283950617,21.07,22.05,224,0.1951219512195122,0.2962962962962963,27,False,True,False,False
0.9878048780487805,0.4024390243902439,0.04938271604938271,0.030303030303030304,77,10,-10,0.2073170731707317,1.3950617283950617,1.1515151515151516,22.05,22.62,224,0.2962962962962963,0.15151515151515152,28,False,True,False,False
0.4024390243902439,1.0,0.030303030303030304,0.06097560975609756,77,-10,-6,0.5,1.1515151515151516,1.4878048780487805,22.62,22.45,224,0.15151515151515152,0.2073170731707317,29,False,True,False,False
1.0,0.04878048780487805,0.06097560975609756,0.0,77,-6,3,0.125,1.4878048780487805,0.25,22.45,17.03,224,0.2073170731707317,0.5,30,False,True,False,False
0.04878048780487805,0.975609756097561,0.0,0.0125,77,3,12,0.15,0.25,1.15,17.03,16.75,224,0.5,0.125,31,False,True,False,False
0.975609756097561,0.975609756097561,0.0125,0.0625,77,12,-1,0.2083333333333333,1.15,1.275,16.75,16.73,224,0.125,0.15,32,False,True,False,False
0.975609756097561,0.8780487804878049,0.0625,0.013888888888888888,77,-1,3,0.3108108108108108,1.275,1.0138888888888888,16.73,16.02,224,0.15,0.20833333333333334,33,False,True,False,False
0.8780487804878049,0.9024390243902439,0.013888888888888888,0.05405405405405406,77,3,4,0.1,1.0138888888888888,1.527027027027027,16.02,16.12,224,0.20833333333333334,0.3108108108108108,34,False,True,False,False
0.9024390243902439,0.4878048780487805,0.05405405405405406,0.025,77,4,5,0.0,1.527027027027027,1.1,16.12,14.05,224,0.3108108108108108,0.1,35,False,True,False,False
0.8048780487804879,1.0,0.12121212121212122,0.14634146341463414,76,-2,-10,0.5833333333333334,2.878787878787879,2.4634146341463414,25.3,25.28,222,0.45454545454545453,0.5365853658536586,27,False,True,False,False
1.0,0.5853658536585366,0.14634146341463414,0.1875,76,-10,-4,0.3875,2.4634146341463414,1.8333333333333333,25.28,25.18,222,0.5365853658536586,0.5833333333333334,28,False,True,False,False
0.5853658536585366,0.975609756097561,0.1875,0.1,76,-4,2,0.4142857142857143,1.8333333333333333,1.8125,25.18,23.57,222,0.5833333333333334,0.3875,29,False,True,False,False
0.975609756097561,0.8536585365853658,0.1,0.04285714285714286,76,2,-11,0.4,1.8125,1.9714285714285715,23.57,23.72,222,0.3875,0.4142857142857143,30,False,True,False,False
0.8536585365853658,0.24390243902439024,0.04285714285714286,0.05,76,-11,-3,0.3703703703703703,1.9714285714285715,1.4,23.72,23.17,222,0.4142857142857143,0.4,31,False,True,False,False
0.24390243902439024,0.9878048780487805,0.05,0.1111111111111111,76,-3,-6,0.3846153846153846,1.4,1.9259259259259258,23.17,23.03,222,0.4,0.37037037037037035,32,False,True,False,False
0.9878048780487805,0.3170731707317073,0.1111111111111111,0.11538461538461539,76,-6,-7,0.0895522388059701,1.9259259259259258,1.8461538461538463,23.03,19.47,222,0.37037037037037035,0.38461538461538464,33,False,True,False,False
0.975609756097561,0.1951219512195122,0.45,0.375,75,27,-1,0.6875,4.1875,3.375,18.25,18.1,219,0.825,0.5625,27,True,False,False,False
0.1951219512195122,0.5853658536585366,0.375,0.5416666666666666,75,-1,0,0.6944444444444444,3.375,2.7708333333333335,18.1,17.58,219,0.5625,0.6875,28,True,False,False,False
0.5853658536585366,0.8780487804878049,0.5416666666666666,0.375,75,0,8,0.7560975609756098,2.7708333333333335,3.5555555555555554,17.58,18.95,219,0.6875,0.6944444444444444,29,True,False,False,False
0.8780487804878049,1.0,0.375,0.34146341463414637,75,8,7,0.8051948051948052,3.5555555555555554,2.658536585365854,18.95,17.97,219,0.6944444444444444,0.7560975609756098,30,True,False,False,False
1.0,0.9390243902439024,0.34146341463414637,0.3116883116883117,75,7,18,0.8048780487804879,2.658536585365854,3.142857142857143,17.97,18.38,219,0.7560975609756098,0.8051948051948052,31,True,False,False,False
0.9390243902439024,1.0,0.3116883116883117,0.3902439024390244,75,18,2,0.8148148148148148,3.142857142857143,3.048780487804878,18.38,18.03,219,0.8051948051948052,0.8048780487804879,32,True,False,False,False
1.0,0.32926829268292684,0.3902439024390244,0.48148148148148145,75,2,4,0.4342105263157895,3.048780487804878,3.1481481481481484,18.03,17.85,219,0.8048780487804879,0.8148148148148148,33,True,False,False,False
0.32926829268292684,0.926829268292683,0.48148148148148145,0.17105263157894737,75,4,-20,0.45,3.1481481481481484,2.289473684210526,17.85,18.15,219,0.8148148148148148,0.4342105263157895,34,True,False,False,False
0.926829268292683,0.7317073170731707,0.17105263157894737,0.2833333333333333,75,-20,-21,0.7857142857142857,2.289473684210526,3.033333333333333,18.15,16.93,219,0.4342105263157895,0.45,35,True,False,False,False
0.7317073170731707,0.17073170731707318,0.2833333333333333,0.6428571428571429,75,-21,9,0.5921052631578947,3.033333333333333,2.642857142857143,16.93,16.92,219,0.45,0.7857142857142857,36,True,False,False,False
0.17073170731707318,0.926829268292683,0.6428571428571429,0.25,75,9,-8,0.3670886075949367,2.642857142857143,2.6315789473684212,16.92,17.67,219,0.7857142857142857,0.5921052631578947,37,True,False,False,False
0.926829268292683,0.9634146341463414,0.25,0.16455696202531644,75,-8,-16,0.2083333333333333,2.6315789473684212,1.759493670886076,17.67,13.7,219,0.5921052631578947,0.3670886075949367,38,True,False,False,False
1.0,1.0,0.34146341463414637,0.2682926829268293,72,17,18,0.6304347826086957,2.7804878048780486,2.6097560975609757,19.37,20.17,205,0.6951219512195121,0.6585365853658537,28,False,False,False,True
